Date,kurt,skew
2007-08-02,0.01732391553307311,-0.011533269839399396
2007-08-03,-0.047050405014258945,0.02507804333420105
2007-08-06,-0.07350345265965885,0.03161738964747718
2007-08-07,-0.04977095636586382,0.019494253350779367
2007-08-08,-0.018731361927378454,0.01031354879151647
2007-08-09,-0.0852709997396075,0.026290418692994866
2007-08-10,-0.06257268088302503,-0.002415059727257529
2007-08-13,-0.19640139300677018,0.05849182572843126
2007-08-14,-0.11610397504696346,0.02407889356284021
2007-08-16,1.6294843405894084,-0.30062539876634564
2007-08-17,0.014568818005232353,-0.01965052686896196
2007-08-20,-0.10470504561323868,0.05571846361312005
2007-08-21,-0.0263868970725597,0.010829298549006383
2007-08-22,0.0,0.0
2007-08-23,-0.03630135280421121,-0.01878014021704233
2007-08-24,-0.01928061178718643,0.019767087851896292
2007-08-27,-0.04390590106411296,0.035385835025604884
2007-08-28,0.0059858169074265,-0.0004220906727402385
2007-08-29,0.0,0.0
2007-08-30,-0.04091454951307638,0.02750080732514859
2007-08-31,-0.05431747194617764,0.036094113445939824
2007-09-03,-0.06378759778370369,0.03975938970121495
2007-09-04,-0.07126743138403113,0.034185098376875
2007-09-05,-0.08499732198170662,0.033636621626249585
2007-09-06,0.011737828070702783,-0.002133486344623514
2007-09-07,-0.08174124524775139,0.027496334430559655
2007-09-10,-0.2087831930510834,0.06472056453905184
2007-09-11,-0.1592527124533848,0.033534314442448476
2007-09-12,-0.03401575962848846,0.004711558965940998
2007-09-13,-0.19023549640034576,0.03036137647722037
2007-09-14,0.004354318503258625,0.0006341650264198861
2007-09-17,2.204611810962455,-0.35379579851108167
2007-09-18,-0.007644680510619395,0.013894349869641553
2007-09-19,0.05120632876420106,0.0013065005684538278
2007-09-20,0.0,0.0
2007-09-21,-0.057472077820699186,0.09457073526161452
2007-09-27,-0.11251771432772828,0.08845823308050615
2007-09-28,-0.026940766382034353,0.01342439836366549
2007-10-01,-0.07850520773628433,0.043227105320136516
2007-10-02,-0.025276508445894574,0.00421468159075955
2007-10-04,-0.032980643219093664,0.008774539515671309
2007-10-05,-0.015902842095016245,0.0045665091590634255
2007-10-08,-0.24481043455100804,0.08330821052745518
2007-10-09,-0.005594953711386408,0.0032479058168624064
2007-10-10,-0.1781134939925546,0.046318403640022154
2007-10-11,-0.036904523099866804,0.017184014837095862
2007-10-12,-0.22065341031357777,0.03472707147042331
2007-10-15,2.2708152250276434,-0.35543995525212513
2007-10-16,-0.0119845076638454,-0.016442998547317678
2007-10-17,-0.0319387401134118,-0.004712330541727261
2007-10-18,-0.007518385005930273,0.02208471904606868
2007-10-19,-0.017329107770077568,-0.01016441871782614
2007-10-22,-0.059707714835609216,0.048785017545010634
2007-10-23,0.025203559754436666,-0.026557063123367697
2007-10-24,-0.01802862884844192,0.02025724351605862
2007-10-25,-0.007535734758359891,0.006778375624423294
2007-10-26,-0.029683739082495886,0.02703622166277908
2007-10-29,-0.033010640713168504,0.029933472380726966
2007-10-30,0.0031610616928074986,-0.0013987286589742798
2007-10-31,-0.03834973787410412,0.029679103313657196
2007-11-01,0.02051444105123701,0.005337733220839969
2007-11-02,-0.09035510516440193,0.04846007388027873
2007-11-05,-0.07676316947656803,0.04249378563724271
2007-11-06,0.0,0.0
2007-11-07,-0.05035867766111968,0.022883923012385177
2007-11-08,-0.04409394345517437,0.020970764509798068
2007-11-09,-0.061181156931739755,0.023577758055385756
2007-11-12,-0.22323097488897037,0.07350591562589304
2007-11-13,-0.08519748827344531,0.019834221201156188
2007-11-14,-0.09929368736466337,0.020145056236377634
2007-11-15,1.682829739341401,-0.3279349757072487
2007-11-16,-0.05303636149198121,0.07226223106647511
2007-11-19,0.02308500461337193,-0.05620397237336372
2007-11-20,0.0019788167500034426,0.024628583286264938
2007-11-21,-0.004561966939095052,0.030836510439877562
2007-11-22,-0.028913384704467804,0.013024328242749572
2007-11-23,0.03658118147865608,-0.008966118814383583
2007-11-26,-0.0971322756755616,0.06472101486647563
2007-11-27,-0.050666210325771344,0.0135775682218362
2007-11-28,-0.057592682616804614,0.043829863234249755
2007-11-29,0.0018730349997575502,-0.03253135911311189
2007-11-30,-0.03580493606314872,0.01659270104343613
2007-12-03,-0.07537559057798404,0.033432628752986915
2007-12-04,-0.06946686681509995,0.04224459079297227
2007-12-05,-0.01738630263625318,0.013097234648847378
2007-12-06,-0.0267971287638753,0.010820214537058614
2007-12-07,-0.08520903570259875,0.022177820273630022
2007-12-10,-0.17819273875332886,0.06357258291424306
2007-12-11,-0.054104832378776724,0.020686127076730898
2007-12-12,-0.1641760869593445,0.03139378333949461
2007-12-13,-0.32920897801088633,0.046170908805218236
2007-12-14,-0.18155225813952236,0.019900348306185034
2007-12-17,3.697022195228305,-0.36239148433463375
2007-12-18,-0.00788069313814943,-0.0075105851533605605
2007-12-20,-0.026027341585545205,0.030051962972789115
2007-12-21,0.01920441975195386,0.0008423937598194264
2007-12-24,-0.036273733824085164,0.055951036820911515
2007-12-26,-0.016829053532590454,0.018474861852254332
2007-12-27,-0.0018591336715761964,-0.006245814392347948
2007-12-28,-0.04092049843812706,-0.0010209849021906026
2008-01-02,-0.0667669335420158,0.03510221338832942
2008-01-03,0.0005301419195611334,0.008716066764077102
2008-01-04,-0.05788504800678773,0.040320188460998496
2008-01-07,-0.09293345195232383,0.033063427705780635
2008-01-08,0.0,0.0
2008-01-09,0.0,0.0
2008-01-10,-0.08322654280757369,0.04785479134908033
2008-01-11,-0.07079024872300532,0.01611617301271706
2008-01-14,-0.22920089853367087,0.08007029385789255
