Date,kurt,skew
2007-08-01,-1.4073007163964537,0.037243694612986655
2007-08-02,-1.40721383461444,0.04111985607081648
2007-08-03,-1.4098940084247418,0.03862530160001875
2007-08-06,-1.409065828760573,0.0599273923532437
2007-08-07,-1.4115774150203075,0.04665415430311976
2007-08-08,-1.406850452218906,0.06234297605682279
2007-08-09,-1.4090302068998872,0.0876179238472063
2007-08-10,-1.3957075118995117,0.08156207518417068
2007-08-13,-1.3728785079032195,0.08813886877521254
2007-08-14,-1.372842695959495,0.08765173202108431
2007-08-16,-1.4098484033057848,-0.05172702015512765
2007-08-17,-1.3986907768595433,-0.057847049127954485
2007-08-20,-1.4061247957038865,0.009053570601726423
2007-08-21,-1.4052571403204337,0.012889803878493413
2007-08-22,,
2007-08-23,-1.405941717313154,0.03218969458973067
2007-08-24,-1.4102778785734187,0.026886432299252742
2007-08-27,-1.4024450211329313,0.04132434413127033
2007-08-28,-1.395018086947108,0.026719904019852397
2007-08-29,-1.3887292922485366,0.024357095158431943
2007-08-30,-1.3951264334109117,0.04110017677912153
2007-08-31,-1.3812906089583097,0.04109847534432561
2007-09-03,-1.3921782249873162,0.06106398830253206
2007-09-04,-1.3884257565679679,0.05048724918233026
2007-09-05,-1.3904232360525697,0.08016730525603225
2007-09-06,-1.3841524530817098,0.06720280459267697
2007-09-07,-1.383850474218926,0.059281884620185826
2007-09-10,-1.3824395408274863,0.08380115454865653
2007-09-11,-1.3877945933836844,0.11156940837851137
2007-09-12,-1.3697707583658307,0.09707970187911193
2007-09-13,-1.3691699020943922,0.11117476469383893
2007-09-14,-1.3541761406661255,0.10251904630749256
2007-09-17,-1.400082306889596,0.010280722352098894
2007-09-18,-1.4052371799690524,0.01433451089609354
2007-09-19,-1.3988214861578065,0.0078048489325659
2007-09-20,-1.4021828399255774,-0.000578324382164401
2007-09-21,-1.4032335775915497,-0.0036288404572676018
2007-09-27,-1.4078166947818687,0.01612187914383624
2007-09-28,-1.4080923830336618,0.021887637029859224
2007-10-01,-1.408975302030682,0.031252985977596556
2007-10-02,-1.4044837699621204,0.03751902168010224
2007-10-04,-1.3965982185396222,0.04191867865979804
2007-10-05,-1.3976704205726909,0.03539557700806828
2007-10-08,-1.3768211563630517,0.0627236184635671
2007-10-09,-1.3828058345873808,0.07034167230315433
2007-10-10,-1.3956469422155173,0.09436467870000478
2007-10-11,-1.404993722239735,0.10518662313202966
2007-10-12,-1.4031458635120473,0.11468865320020478
2007-10-15,-1.3979519115446026,-0.009591684655707379
2007-10-16,-1.3994074349908194,-0.016861516795144072
2007-10-17,-1.4035280684907685,0.001728226648832814
2007-10-18,-1.403389239110593,-0.0031937357076447476
2007-10-19,-1.4049170296886542,0.01585368234675837
2007-10-22,-1.4109956662257426,0.024364109478539488
2007-10-23,-1.4008885282033996,0.019121841738908192
2007-10-24,-1.4068563698719465,0.03120712370694918
2007-10-25,-1.4047986138060709,0.030433978378185667
2007-10-26,-1.3910995288689747,0.019073652327888158
2007-10-29,-1.3911861285904064,0.02821931537447683
2007-10-30,-1.3979021309205621,0.03843072332181772
2007-10-31,,
2007-11-01,-1.3968317460342308,0.029536022707123643
2007-11-02,-1.386925336606077,0.043175856421552715
2007-11-05,-1.3806821429571174,0.0524027769775738
2007-11-06,-1.3661189359137214,0.04223242062479649
2007-11-07,-1.3811555756576979,0.059461074370642845
2007-11-08,-1.390567782482648,0.06863359732901575
2007-11-09,-1.3790754792271356,0.07600469263958391
2007-11-12,-1.3620166855086924,0.07339416245542472
2007-11-13,-1.3561373808989035,0.07356700479499079
2007-11-14,,
2007-11-15,-1.4025149336458365,0.009085912995640648
2007-11-16,-1.4016710386846052,0.0009989060704565572
2007-11-19,-1.3592266301896145,-0.05360314145275072
2007-11-20,-1.3867322317784454,-0.04924858380681987
